entity_id,state,last_changed
sensor.xiao_sensor_xiao_12d7dc_battery,97.6,2026-07-29T02:03:33.811Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.4,2026-07-29T02:03:45.057Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.6,2026-07-29T02:04:08.763Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.4,2026-07-29T02:04:20.266Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.6,2026-07-29T02:04:31.461Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.4,2026-07-29T02:04:54.006Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.6,2026-07-29T02:05:05.197Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.4,2026-07-29T02:05:16.437Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.6,2026-07-29T02:05:27.597Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.4,2026-07-29T02:05:38.861Z
sensor.xiao_sensor_xiao_12d7dc_battery,95.2,2026-07-29T02:06:12.505Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.6,2026-07-29T02:06:23.719Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.4,2026-07-29T02:06:34.877Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.6,2026-07-29T02:06:46.036Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.4,2026-07-29T02:06:57.199Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.6,2026-07-29T02:07:08.362Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.4,2026-07-29T02:07:42.226Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.2,2026-07-29T02:09:45.370Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.4,2026-07-29T02:09:56.792Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.2,2026-07-29T02:10:08.221Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.4,2026-07-29T02:10:30.547Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.2,2026-07-29T02:10:52.927Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.4,2026-07-29T02:11:15.252Z
sensor.xiao_sensor_xiao_12d7dc_battery,94.25,2026-07-29T02:11:38.035Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.2,2026-07-29T02:11:49.255Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.4,2026-07-29T02:12:00.444Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.0,2026-07-29T02:13:22.437Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.2,2026-07-29T02:13:33.717Z
sensor.xiao_sensor_xiao_12d7dc_battery,95.8,2026-07-29T02:13:44.941Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.2,2026-07-29T02:13:56.129Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.4,2026-07-29T02:14:07.390Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.2,2026-07-29T02:14:18.855Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.4,2026-07-29T02:14:30.123Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.2,2026-07-29T02:14:42.410Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.0,2026-07-29T02:15:27.313Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.2,2026-07-29T02:15:39.522Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.0,2026-07-29T02:15:52.714Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.2,2026-07-29T02:16:03.946Z
sensor.xiao_sensor_xiao_12d7dc_battery,96.6,2026-07-29T02:16:15.426Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.2,2026-07-29T02:16:26.885Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.0,2026-07-29T02:16:49.635Z
sensor.xiao_sensor_xiao_12d7dc_battery,97.2,2026-07-29T02:17:01.212Z
